Week;Sales;Brand_price;Average_category_price;TV_1;TV_2;TV_3;TV_4;TV_5;TV_6;TV_7;TV_8;TV_9;TV_competitor_1;TV_competitor_2;TV_competitor_3;TV_competitor_4;Press
04.01.2010;7092;55;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2010;8664;52;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2010;7526;53;97;0;0;0;0;0;0;0;0;0;0;0;0;0;50
25.01.2010;9165;55;103;0;0;0;0;0;0;0;0;0;0;0;0;0;56
01.02.2010;8713;52;101;0;0;0;0;0;0;0;0;0;0;0;0;0;6
08.02.2010;7489;53;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2010;8595;53;104;46;10;0;0;0;0;0;0;0;0;0;0;0;6
22.02.2010;7798;53;100;43;10;0;0;0;0;0;0;0;0;0;0;0;0
01.03.2010;9154;52;105;0;0;0;0;0;0;0;0;0;0;0;11;0;0
08.03.2010;8317;52;103;0;0;0;0;0;0;0;0;0;0;0;13;0;0
15.03.2010;8671;53;103;39;11;0;0;0;0;0;0;0;0;8;13;0;0
22.03.2010;8837;53;103;46;9;0;0;0;0;0;0;0;0;10;6;0;0
29.03.2010;7389;56;109;0;0;0;0;0;0;0;0;0;0;10;8;0;22
05.04.2010;8215;56;109;0;0;0;0;0;0;0;0;0;0;13;12;0;24
12.04.2010;8121;56;111;0;0;0;0;0;0;0;0;0;0;7;19;0;34
19.04.2010;8120;55;107;0;0;0;0;0;0;0;0;0;0;0;6;0;36
26.04.2010;7494;55;108;0;0;0;0;0;0;0;0;0;0;0;0;0;34
03.05.2010;6077;57;106;0;0;0;0;0;0;0;0;0;0;0;0;2;0
10.05.2010;7427;56;114;0;0;0;0;0;0;0;0;0;12;0;0;1;0
17.05.2010;7440;56;110;0;0;0;0;0;0;0;0;0;16;0;0;3;0
24.05.2010;6449;58;112;0;0;0;0;0;0;0;0;0;17;0;0;3;0
31.05.2010;6309;58;109;0;0;0;0;0;0;0;0;0;62;0;0;3;27
07.06.2010;7078;59;110;0;0;0;0;0;0;0;0;0;37;0;0;4;37
14.06.2010;7886;60;112;0;0;0;0;0;0;0;0;0;0;0;0;4;54
21.06.2010;7981;59;110;0;0;0;0;0;0;0;0;0;0;0;0;5;33
28.06.2010;7814;59;109;0;0;0;0;0;0;0;0;0;0;0;0;3;0
05.07.2010;7525;61;108;0;0;0;0;0;0;0;0;0;0;0;0;8;0
12.07.2010;7653;61;108;0;0;0;0;0;0;0;0;0;0;0;0;12;6
19.07.2010;8038;62;110;0;0;0;0;0;0;0;0;0;0;0;0;13;17
26.07.2010;7868;63;108;0;0;0;0;0;0;0;0;0;0;0;0;7;0
02.08.2010;7779;63;105;0;0;0;0;0;0;0;0;0;0;0;0;0;20
09.08.2010;7328;64;100;0;0;0;0;0;0;0;0;0;0;0;0;0;49
16.08.2010;7592;65;101;0;0;0;0;0;0;0;0;0;0;0;0;0;52
23.08.2010;8985;66;104;0;0;0;0;0;0;0;0;0;0;0;0;0;15
30.08.2010;8810;63;104;0;0;0;0;0;0;0;0;0;0;0;0;0;15
06.09.2010;8576;62;102;0;0;0;0;0;0;0;0;0;0;0;0;8;0
13.09.2010;8803;62;106;0;0;0;0;0;0;0;0;0;5;0;0;11;22
20.09.2010;8353;62;111;0;0;0;0;0;0;0;0;0;37;0;0;5;29
27.09.2010;7796;63;114;0;0;0;0;0;0;0;0;0;25;0;0;0;53
04.10.2010;8815;65;112;0;0;0;0;0;0;0;0;0;0;0;15;0;0
11.10.2010;8590;65;111;0;0;0;0;0;0;0;0;0;0;0;12;0;0
18.10.2010;10411;67;109;45;10;0;0;0;0;0;0;0;0;0;14;0;0
25.10.2010;11837;67;111;59;9;0;0;0;0;0;0;0;0;0;14;0;0
01.11.2010;10599;67;110;0;2;0;0;0;0;0;0;0;0;0;14;8;46
08.11.2010;13058;68;118;0;0;0;0;0;0;0;0;0;0;0;17;8;52
15.11.2010;11556;68;115;48;0;0;0;0;0;0;0;0;0;0;18;10;25
22.11.2010;11120;67;116;100;0;0;0;0;0;0;0;0;0;0;0;9;32
29.11.2010;10289;68;118;0;0;0;0;0;0;0;0;0;0;0;0;0;2
06.12.2010;10504;66;121;0;0;0;47;0;0;0;0;0;0;0;0;22;0
13.12.2010;13284;67;121;42;10;0;56;0;0;0;0;0;0;0;0;11;12
20.12.2010;11851;68;121;48;11;0;0;0;0;0;0;0;0;0;0;0;66
27.12.2010;9911;68;120;9;0;0;6;0;0;0;0;0;0;0;0;0;49
03.01.2011;11875;69;116;42;0;0;67;0;0;0;0;0;0;0;0;0;0
10.01.2011;14856;67;112;52;0;0;44;0;0;0;0;0;0;0;0;0;0
17.01.2011;14094;69;122;0;0;0;0;0;0;0;0;0;0;0;0;15;0
24.01.2011;13976;70;127;0;0;0;0;0;0;0;0;0;0;0;0;15;0
31.01.2011;11832;70;129;0;0;0;0;0;0;0;0;0;0;0;0;18;74
07.02.2011;11148;69;127;0;7;0;0;0;0;0;0;0;0;0;0;17;34
14.02.2011;12761;69;132;0;4;0;0;0;0;0;0;0;0;0;21;9;73
21.02.2011;11606;70;130;0;0;0;0;0;0;0;0;0;0;0;29;2;41
28.02.2011;13878;70;131;0;0;0;0;0;0;0;0;0;0;0;4;26;3
07.03.2011;13578;71;128;53;0;0;0;0;0;0;0;0;0;0;0;22;13
14.03.2011;14315;70;122;53;0;0;0;0;0;0;0;0;0;0;0;2;10
21.03.2011;14885;71;123;0;0;0;0;0;0;0;0;0;0;0;0;0;15
28.03.2011;15715;72;129;0;0;0;74;0;0;0;0;0;0;0;0;1;11
04.04.2011;14872;74;124;0;0;0;48;0;0;0;0;0;2;0;0;27;40
11.04.2011;13560;72;120;0;0;0;0;0;0;0;0;0;56;0;0;16;57
